 PRESS HGT(MSL) TEMP DEW PT  WND DIR  WND SPD
 HPA       M      C     C       DEG     M/S
 E = Estimated Surface Height

  774.  2320.E   9.9    6.5    45.2     0.5
  773.  2331.E  11.3    5.7    45.6     0.4
  770.  2363.E  11.7    5.4    20.9     0.8
  767.  2402.E  11.9    4.9    47.2     1.4
  759.  2486.E  12.1    3.7    95.5     2.4
  749.  2598.E  12.0    2.3   109.6     3.4
  737.  2735.E  11.4    0.7   129.1     3.1
  721.  2915.E  10.5   -2.2   161.1     3.3
  705.  3098.E   9.5   -6.1   188.3     5.4
  688.  3308.E   8.1  -10.1   200.9     8.0
  670.  3523.E   6.3  -12.5   208.4     9.8
  650.  3768.E   4.3  -12.6   214.3    11.4
  628.  4042.E   1.8  -11.5   218.1    12.7
  606.  4337.E  -0.8  -10.9   221.9    13.3
  582.  4654.E  -3.2  -12.9   226.3    12.5
  555.  5022.E  -5.8  -16.5   231.2    11.4
  527.  5419.E  -8.6  -19.9   235.3    11.4
  497.  5871.E -11.6  -23.0   236.1    12.8
  467.  6351.E -14.6  -24.1   234.5    14.7
  439.  6810.E -17.4  -23.5   232.0    16.4
  413.  7268.E -20.5  -25.0   230.7    18.2
  388.  7715.E -23.9  -30.0   231.6    19.9
  365.  8158.E -27.2  -38.1   232.6    21.9
  343.  8592.E -30.4  -44.9   231.9    24.1
  323.  9019.E -33.5  -46.1   229.1    26.4
  287.  9836.E -39.1  -49.1   220.1    30.9
  255. 10616.E -45.0  -57.6   217.4    35.2
  227. 11366.E -50.4  -61.2   214.3    38.1
  200. 12185.E -56.0  -66.5   217.6    39.6
