"Relative humidity, %",Air temperature at vent (C),"Air pressure  at vent, atm",vent diameter (m),vent elevation (m),initial velocity (m/s),magma temperature (c),weight fraction gas,magma specific heat (j/kg k),magma density (kg/m3),mixture density (kg/m3),mass fraction water added,mass flux total (kg/s),calculated height (km),sparks heigth (km),mastin et al 2009 height (km),inum,z,m_m,m_a,m_v,m_l,m_i,u,r,T_mix,T_air,rho_mix,rho_air,time,p_air,water,ice,vent equivalent init (m),mer eq,run,mass flux (kg/s),dry plume height (km),delta z (km),region,Ri,Thermal Ri,g prime,Ri_T
0,0.0,1.0,167.4,0.0,75.0,700.0,0.03,1000.0,2500.0,7.351,0.0,12100000.0,0.835,14.421,15.466,1.0,0.0,0.969,0.001,0.03,0.0,0.0,75.0,83.7,973.3,273.1,7.351,1.292,0.0,101300.0,0.0,0.0,167.4,37107214.86,Grid_Runs_out_run15680.txt,12100000.0,0.835,0.0,,1.369116401,0.09985386,54.81525542,0.125119543
0,0.0,1.0,200.4,0.0,75.0,700.0,0.03,1000.0,2500.0,5.805,0.01,13700000.0,0.81,14.881,15.934,1.0,0.0,0.959,0.001,0.0397,0.0,0.0,75.0,100.2,936.6,273.1,5.805,1.292,0.0,101300.0,0.0,0.0,177.2,41579081.06,Grid_Runs_out_run8756.txt,13563000.0,0.674,0.136,3.0,1.079476067,0.114194462,43.07666409,0.149784686
0,0.0,1.0,232.3,0.0,75.0,700.0,0.03,1000.0,2500.0,4.868,0.02,15500000.0,0.803,15.337,16.397,1.0,0.0,0.95,0.001,0.0494,0.0,0.0,75.0,116.1,900.7,273.1,4.868,1.292,0.0,101300.0,0.0,0.0,187.1,46354833.62,Grid_Runs_out_run17989.txt,15190000.0,0.619,0.184,3.0,0.903140389,0.130428302,35.96213622,0.173627657
0,0.0,1.0,250.0,0.0,75.0,700.0,0.03,1000.0,2500.0,4.244,0.03,15600000.0,0.961,15.377,16.438,1.0,0.0,0.94,0.001,0.059,0.0,0.0,75.0,125.0,865.6,273.1,4.244,1.292,0.0,101300.0,0.0,0.0,187.1,46354833.62,Grid_Runs_out_run996.txt,15132000.0,0.619,0.342,3.0,0.745545422,0.141220476,31.22417957,0.186857143
0,0.0,1.0,279.4,0.0,75.0,700.0,0.03,1000.0,2500.0,3.803,0.04,17500000.0,0.879,15.823,16.889,1.0,0.0,0.93,0.001,0.0687,0.0,0.0,75.0,139.7,831.1,273.1,3.803,1.292,0.0,101300.0,0.0,0.0,196.9,51337992.71,Grid_Runs_out_run7338.txt,16800000.0,0.585,0.294,3.0,0.66738493,0.161267853,27.87571981,0.208831543
0,0.0,1.0,293.7,0.0,75.0,700.0,0.03,1000.0,2500.0,3.478,0.05,17700000.0,0.94,15.865,16.933,1.0,0.0,0.921,0.001,0.0784,0.0,0.0,75.0,146.8,797.4,273.1,3.478,1.292,0.0,101300.0,0.0,0.0,196.9,51337992.71,Grid_Runs_out_run451.txt,16815000.0,0.585,0.355,3.0,0.581004961,0.175187013,25.40803406,0.219519771
0,0.0,1.0,306.2,0.0,75.0,700.0,0.03,1000.0,2500.0,3.233,0.06,17900000.0,0.964,15.908,16.976,1.0,0.0,0.911,0.001,0.0881,0.0,0.0,75.0,153.1,764.2,273.1,3.233,1.292,0.0,101300.0,0.0,0.0,196.9,51337992.71,Grid_Runs_out_run15487.txt,16826000.0,0.585,0.379,3.0,0.515887754,0.190739352,23.54777864,0.228862629
0,0.0,1.0,301.4,0.0,75.0,700.0,0.03,1000.0,2500.0,3.045,0.07,16300000.0,1.12,15.542,16.605,1.0,0.0,0.901,0.001,0.0978,0.0,0.0,75.0,150.7,731.7,273.1,3.045,1.292,0.0,101300.0,0.0,0.0,187.1,46354833.62,Grid_Runs_out_run14433.txt,15159000.0,0.619,0.501,3.0,0.442730733,0.197636,22.12031734,0.225274971
0,0.0,1.0,310.6,0.0,75.0,700.0,0.03,1000.0,2500.0,2.899,0.08,16500000.0,1.008,15.585,16.649,1.0,0.0,0.892,0.001,0.107,0.0,0.0,75.0,155.3,699.7,273.1,2.899,1.292,0.0,101300.0,0.0,0.0,187.1,46354833.62,Grid_Runs_out_run3800.txt,15180000.0,0.619,0.389,3.0,0.405857552,0.216126698,21.01175697,0.232151314
0,0.0,1.0,285.0,0.0,75.0,700.0,0.03,1000.0,2500.0,2.786,0.09,13300000.0,1.255,14.77,15.821,1.0,0.0,0.882,0.001,0.117,0.0,0.0,75.0,142.5,668.2,273.1,2.786,1.292,0.0,101300.0,0.0,0.0,167.4,37107214.86,Grid_Runs_out_run14262.txt,12103000.0,0.835,0.42,3.0,0.337590346,0.211858242,20.15376161,0.213017143
0,0.0,1.0,274.0,0.0,75.0,700.0,0.03,1000.0,2500.0,2.699,0.1,11900000.0,1.119,14.36,15.405,1.0,0.0,0.872,0.001,0.127,0.0,0.0,75.0,137.0,637.2,273.1,2.699,1.292,0.0,101300.0,0.0,0.0,157.5,32847972.46,Grid_Runs_out_run2281.txt,10710000.0,14.997,-13.878,2.0,0.299129071,0.219088456,19.49318111,0.204795429
0,0.0,1.0,244.0,0.0,75.0,700.0,0.03,1000.0,2500.0,2.635,0.11,9240000.0,1.187,13.455,14.482,1.0,0.0,0.862,0.001,0.137,0.0,0.0,75.0,122.0,606.7,273.1,2.635,1.292,0.0,101300.0,0.0,0.0,137.8,25144666.9,Grid_Runs_out_run15202.txt,8223600.0,14.269,-13.082,2.0,0.249809642,0.211192198,19.00723684,0.182372571
0,0.0,1.0,212.3,0.0,75.0,700.0,0.03,1000.0,2500.0,2.589,0.12,6880000.0,1.165,12.483,13.487,1.0,0.0,0.853,0.001,0.146,0.0,0.0,75.0,106.2,576.7,273.1,2.589,1.292,0.0,101300.0,0.0,0.0,118.2,18500454.79,Grid_Runs_out_run11084.txt,6054400.0,13.553,-12.388,2.0,0.206938559,0.200176036,18.6579644,0.158679086
0,0.0,1.0,169.9,0.0,75.0,700.0,0.03,1000.0,2500.0,2.56,0.13,4350000.0,1.252,11.114,12.079,1.0,0.0,0.843,0.001,0.156,0.0,0.0,75.0,84.9,547.1,273.1,2.56,1.292,0.0,101300.0,0.0,0.0,93.5,11576324.0,Grid_Runs_out_run9672.txt,3784500.0,12.564,-11.312,2.0,0.160034947,0.175429623,18.4377709,0.126988114
0,0.0,1.0,126.2,0.0,75.0,700.0,0.03,1000.0,2500.0,2.547,0.14,2390000.0,1.306,9.545,10.455,1.0,0.0,0.833,0.001,0.166,0.0,0.0,75.0,63.1,517.9,273.1,2.547,1.292,0.0,101300.0,0.0,0.0,68.9,6286166.726,Grid_Runs_out_run16383.txt,2055400.0,11.224,-9.918,1.0,0.11672044,0.143540358,18.33906347,0.094325486
0,0.0,1.0,81.6,0.0,75.0,700.0,0.03,1000.0,2500.0,2.548,0.15,1000000.0,1.297,7.649,8.475,1.0,0.0,0.824,0.001,0.175,0.0,0.0,75.0,40.8,489.1,273.1,2.548,1.292,0.0,101300.0,0.0,0.0,44.3,2598692.566,Grid_Runs_out_run16311.txt,850000.0,8.756,-7.459,1.0,0.075106467,0.102381545,18.34665635,0.060990171
0,0.0,1.0,43.2,0.0,75.0,700.0,0.03,1000.0,2500.0,2.564,0.16,282000.0,0.94,5.548,6.248,1.0,0.0,0.814,0.001,0.185,0.0,0.0,75.0,21.6,460.7,273.1,2.564,1.292,0.0,101300.0,0.0,0.0,23.4,725068.7145,Grid_Runs_out_run4117.txt,236880.0,6.094,-5.154,1.0,0.040177872,0.05931722,18.46814241,0.032288914
0,0.0,1.0,28.5,0.0,75.0,700.0,0.03,1000.0,2500.0,2.595,0.17,124000.0,0.744,4.499,5.122,1.0,0.0,0.804,0.001,0.195,0.0,0.0,75.0,14.2,432.7,273.1,2.595,1.292,0.0,101300.0,0.0,0.0,15.4,314042.8379,Grid_Runs_out_run3234.txt,102920.0,4.892,-4.148,1.0,0.027086264,0.042910089,18.70352167,0.021301714
0,0.0,1.0,23.8,0.0,75.0,700.0,0.03,1000.0,2500.0,2.641,0.18,87900.0,0.671,4.125,4.716,1.0,0.0,0.795,0.001,0.204,0.0,0.0,75.0,11.9,405.1,273.1,2.641,1.292,0.0,101300.0,0.0,0.0,12.9,220357.0107,Grid_Runs_out_run13109.txt,72078.0,4.458,-3.787,1.0,0.023490141,0.04028104,19.05279412,0.0177888
0,0.0,1.0,21.4,0.0,75.0,700.0,0.03,1000.0,2500.0,2.705,0.19,73200.0,0.633,3.937,4.513,1.0,0.0,0.785,0.001,0.214,0.0,0.0,75.0,10.7,377.6,273.1,2.705,1.292,0.0,101300.0,0.0,0.0,11.7,181267.1786,Grid_Runs_out_run5342.txt,59292.0,4.237,-3.604,1.0,0.022315776,0.041569143,19.53873839,0.015994971
0,0.0,1.0,20.2,0.0,75.0,700.0,0.03,1000.0,2500.0,2.764,0.2,66700.0,0.558,3.846,4.413,1.0,0.0,0.775,0.001,0.212,0.0118,0.0,75.0,10.1,373.2,273.1,2.764,1.292,0.0,101300.0,32.6,0.0,11.1,163152.3784,Grid_Runs_out_run6341.txt,53360.0,4.122,-3.564,1.0,0.022055391,0.040101899,19.98671827,0.015098057
0,0.0,1.0,19.1,0.0,75.0,700.0,0.03,1000.0,2500.0,2.825,0.21,60400.0,0.525,3.75,4.309,1.0,0.0,0.766,0.001,0.207,0.026,0.0,75.0,9.5,373.2,273.1,2.825,1.292,0.0,101300.0,73.6,0.0,10.5,145990.9887,Grid_Runs_out_run16234.txt,47716.0,4.005,-3.48,1.0,0.021727783,0.037648684,20.4498839,0.014275886
0,0.0,1.0,16.6,0.0,75.0,700.0,0.03,1000.0,2500.0,2.888,0.22,47000.0,0.557,3.518,4.056,1.0,0.0,0.756,0.001,0.203,0.0403,0.0,75.0,8.3,373.2,273.1,2.888,1.292,0.0,101300.0,116.0,0.0,9.2,112078.7055,Grid_Runs_out_run2948.txt,36660.0,3.739,-3.182,1.0,0.019820047,0.032333383,20.92823529,0.012407314
0,0.0,1.0,15.5,0.0,75.0,700.0,0.03,1000.0,2500.0,2.954,0.23,41600.0,0.514,3.411,3.938,1.0,0.0,0.746,0.001,0.198,0.0545,0.0,75.0,7.7,373.2,273.1,2.954,1.292,0.0,101300.0,161.0,0.0,8.6,97936.44921,Grid_Runs_out_run6820.txt,32032.0,3.61,-3.096,1.0,0.019293607,0.029880167,21.42936533,0.011585143
0,0.0,1.0,13.8,0.0,75.0,700.0,0.03,1000.0,2500.0,3.022,0.24,33800.0,0.521,3.235,3.746,1.0,0.0,0.736,0.001,0.194,0.0688,0.0,75.0,6.9,373.2,273.1,3.022,1.292,0.0,101300.0,208.0,0.0,7.7,78510.70948,Grid_Runs_out_run10565.txt,25688.0,3.409,-2.888,1.0,0.017981288,0.026200344,21.94568111,0.010314514
0,0.0,1.0,12.6,0.0,75.0,700.0,0.03,1000.0,2500.0,3.095,0.25,29100.0,0.491,3.115,3.614,1.0,0.0,0.727,0.001,0.189,0.083,0.0,75.0,6.3,373.2,273.1,3.095,1.292,0.0,101300.0,257.0,0.0,7.1,66751.97951,Grid_Runs_out_run2838.txt,21825.0,3.269,-2.778,1.0,0.017279773,0.023747128,22.4999613,0.0094176
0,0.0,1.0,11.5,0.0,75.0,700.0,0.03,1000.0,2500.0,3.17,0.26,24700.0,0.471,2.989,3.474,1.0,0.0,0.717,0.001,0.185,0.0972,0.0,75.0,5.8,373.2,273.1,3.17,1.292,0.0,101300.0,308.0,0.0,6.5,55946.66007,Grid_Runs_out_run202.txt,18278.0,3.124,-2.653,1.0,0.01647756,0.021293912,23.06942724,0.008595429
0,0.0,1.0,10.2,0.0,75.0,700.0,0.03,1000.0,2500.0,3.25,0.27,20000.0,0.478,2.83,3.299,1.0,0.0,0.707,0.001,0.18,0.111,0.0,75.0,5.1,373.2,273.1,3.25,1.292,0.0,101300.0,362.0,0.0,5.8,44545.45905,Grid_Runs_out_run14874.txt,14600.0,2.945,-2.467,1.0,0.015329382,0.018431827,23.67685759,0.007623771
0,0.0,1.0,9.1,0.0,75.0,700.0,0.03,1000.0,2500.0,3.334,0.28,16300.0,0.478,2.687,3.141,1.0,0.0,0.698,0.001,0.176,0.126,0.0,75.0,4.5,373.2,273.1,3.334,1.292,0.0,101300.0,419.0,0.0,5.2,35805.86245,Grid_Runs_out_run270.txt,11736.0,2.784,-2.306,1.0,0.014333196,0.015978612,24.31465944,0.0068016
